MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English ,Unemployment_Rate,Median_Income ,Economically_active(%),Income_Deprivation,No_cars_household (%),no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000014,Barking and Dagenham 013,26.08,19.21,21.97,21.7,11.04,79.6,21.2,16.9,19.9,26.3,70.5,6.7,17.5,10.5,11,26796,67.7,32.6,40.2,82,45.5,30.4,104.5,76,79.6
E02000015,Barking and Dagenham 014,26.15,21.16,23.01,19.67,10.01,56.3,16.8,13.9,20.6,36,63.3,5.7,25.3,9.8,13.9,24591,66.5,36.8,48.4,82.8,46.4,30.9,113.5,76.4,81
E02000016,Barking and Dagenham 015,26.77,29.35,29.06,11.74,3.07,92.8,20.9,15.4,16.3,27.4,29.6,34.9,27,31.6,11.8,26823,68.9,36.5,64,91.3,52.6,26.4,75.6,84.1,82.5
E02000017,Barking and Dagenham 016,21.91,26.54,24.25,18.7,8.6,99.6,21.2,16,11.1,21.8,31.3,50.4,12.5,26.4,9,34435,67.9,28.7,39.7,85.7,48.7,24.5,76.4,80.4,86.2
E02000018,Barking and Dagenham 017,28.02,20.15,23.63,19.04,9.16,66.5,21.6,14.7,21.6,26.6,64.1,9.7,19.9,13.7,11.8,26613,65.9,30.6,42.7,83.5,47.8,29,96.5,78.5,84.1
E02000019,Barking and Dagenham 018,27.09,18.77,25.06,19.86,9.22,28,23.7,17,19.8,24,63.9,9,22.1,11.7,10.3,29593,69.4,27.1,33.9,84.1,48.9,30.5,99.2,78.3,80.8
E02000020,Barking and Dagenham 019,26.42,20.29,24.21,18.51,10.56,28.3,21,13.1,18.6,28.4,46.4,25,21.7,19.8,11.3,27819,67.4,31.9,43.2,83.2,45.8,27,100.2,78.9,81.3
E02000021,Barking and Dagenham 020,26.25,19.28,22.29,21.86,10.31,28.5,20.5,17.3,19.8,26.6,57.5,9.1,28.1,13.2,9.6,28518,69.5,26.5,37.5,83.3,47.9,30.5,111.3,73.3,78
E02000022,Barking and Dagenham 021,33.59,20.68,28.16,13.41,4.16,119.6,21.5,10.9,24.9,28.2,38.2,16.9,35.9,28.7,15.5,22151,65.4,38.1,57.5,87.2,53,30.6,103.8,74,87.3
E02000023,Barking and Dagenham 022,31.43,21.29,25.59,15.69,6,37.4,19.7,11.3,23.2,30.1,45.2,12.1,36.1,15.6,13.1,24258,67.7,31.7,48.2,85.4,50.6,30.2,82.3,75.4,83.5
E02006799,Barking and Dagenham 023,26.1,19.19,23.6,19.75,11.37,88,22.9,15.4,19.8,26.9,62.1,17,14.8,12.8,11.6,27616,67.1,35.8,36.5,82,44.8,29.1,104.7,74.9,79
E02000024,Barnet 001,18.94,15.43,20.38,28.41,16.84,27.8,23.9,23.2,8.1,29.8,83.4,8.7,2.4,6.9,4.5,44293,74.7,9.7,20,85.5,52.3,17.4,86.5,80.8,85.1
E02000025,Barnet 002,17.67,17.51,23.99,26.18,14.64,33.6,18.6,20.7,11.5,37.2,78.7,9,4.7,8.6,5.8,32507,72.9,15.2,26.3,84.3,49.5,19.4,85.9,80.3,85
E02000026,Barnet 003,19.91,15.94,21.27,26.9,15.98,44,24.4,23,8.2,27.5,78.6,11.1,3.8,9.1,5.2,39295,69.9,11.5,16,85.3,52.1,19.2,89.9,84.2,87.6
E02000027,Barnet 004,22.31,17.99,20.97,24.39,14.34,58.2,21.5,18.8,17.9,27.3,69.7,12.4,9.4,11,8.5,27381,67.7,21.4,29.3,82.9,47,23.9,97.5,77.5,86.3
E02000028,Barnet 005,18.85,18.16,22.4,25.09,15.5,59.5,21.5,23.6,11.9,25.5,74.9,13.2,4.8,9.5,5,39306,74.7,11,19.2,87.1,52.2,18.6,75.1,80.7,84.4
E02000029,Barnet 006,21.51,17.39,23.98,24.91,12.21,51.3,22.2,20.5,13.5,30,75,10.6,5.9,9.3,7,31213,73.4,18.9,26.2,86.1,50.3,20.5,86.8,80.1,85.9
E02000030,Barnet 007,19.64,15.53,17.06,28.69,19.08,6.3,23.8,22.6,11,23.2,75,14.5,4,7,5.1,46651,68.2,11.1,14,84.9,51.9,19.2,92.1,79.6,82.8
E02000031,Barnet 008,18.67,16.7,21.74,24.14,18.74,38.4,24.2,20.9,8.3,27,71.6,15.9,4.8,12.2,4.4,42831,71.5,12.1,21.7,84.4,50.9,17,89.9,81.8,84.1
E02000032,Barnet 009,20.39,16.04,19.94,27.77,15.86,56.5,28.4,24.7,8.3,19.4,67.7,19.4,3.5,12,4.6,41515,70.6,13.4,13,86,50.3,18.3,94.8,83.1,85.6
E02000033,Barnet 010,20.84,17.97,23.64,24.47,13.08,48.8,21.5,20,14.9,28.2,69,15,6.3,12.5,8.2,29483,72.3,18.9,24.3,83.9,48,22.1,94.8,80.8,82.4
E02000034,Barnet 011,19.76,17.91,23.15,24.42,14.75,55.7,21.2,21.3,12.9,28.2,70.7,15.4,5.6,14.9,5.9,32409,71.9,18.4,26.1,85.6,51.1,18.4,97.7,79.9,84.3
E02000035,Barnet 012,17.33,17.97,26.43,21.93,16.35,62.8,19.6,21.5,8.6,34.1,63.9,21.8,4.3,19.5,5.5,35703,72.8,17.5,28.7,84.3,49.3,15,85.1,80.2,83.2
E02000036,Barnet 013,22.81,18.84,21.79,23.08,13.48,60.6,24.3,19.2,13.8,24.5,58,21.6,12.3,15.1,6.5,31167,70.6,18.8,21.4,85.6,49.5,21.1,95.1,81.6,84.7
E02000037,Barnet 014,24.68,17.76,18.57,24.72,14.27,23.2,25.5,23.3,13,20.3,63.5,21.2,7.9,12.4,6.2,36675,70.7,17.3,21.3,85.8,52.2,19.7,95.2,81.8,88.3
E02000038,Barnet 015,19.2,20.15,24.8,23.58,12.27,61.6,20.7,20.6,13,28.5,65.5,17.8,7.9,15.2,6,33581,73,22,24.5,85.3,51.4,18.1,93.8,78.8,81.2
E02000039,Barnet 016,22.01,16.87,21.5,25.86,13.77,31.6,26.6,21.5,8.9,23.8,70.1,16,6.5,11,4,45509,73,10.6,16.4,87.4,56.1,16.2,85.9,84.9,88.4
E02000040,Barnet 017,23.66,18.55,21.2,22.47,14.12,14,22.6,18.3,14.3,26.2,62.3,17.4,9.8,13.7,7.3,31793,68.9,19.1,24.1,85.2,51.2,17.9,93.7,81.9,87.7
E02000041,Barnet 018,21.65,20.55,21.21,22.48,14.1,67.8,21.6,19.4,12.7,24.6,57.2,24.5,9.4,18,6.1,30530,71,19.3,28.1,85.2,50.5,18.7,93.8,81.9,83.2
E02000042,Barnet 019,17.09,20.27,27.57,20.98,14.1,90.1,18.5,20,8.6,33.5,58,26.4,5.3,22.8,6,31836,73.9,26.8,36,84.6,49.5,15.3,93.9,79.8,82
E02000043,Barnet 020,22.19,15.29,25.08,23.87,13.57,53.3,31.1,23.1,7.6,18.8,60.4,28.7,2.6,17.9,4.7,51412,72.6,12.4,16.7,88.8,55.3,14.8,81.5,82.6,83.9
E02000044,Barnet 021,24.21,19.68,23.62,22.9,9.6,73.9,21.2,17.8,20,21.6,56.1,19.6,15,18.3,8.3,26179,69.9,25.5,32.1,85,47.6,22.6,87.2,78.4,83.2
E02000045,Barnet 022,21.18,20.24,27.43,22.16,8.99,60.3,20.3,16.5,16.9,31,64.5,14.5,8.9,17.1,7.7,28859,72.8,29.9,34.8,85.9,49.7,20.6,102.6,78.3,83.2
E02000046,Barnet 023,16.34,22.29,30.45,18.9,12.02,74.8,18.6,21.2,8,28.9,62.8,23.4,4,21.7,5.5,37474,76.8,19.8,33.7,87.9,53.1,13.6,94.3,80.9,81.7
E02000047,Barnet 024,23.57,21.39,24.58,20.09,10.37,80.9,19.7,16.1,19.1,26,46.1,28,15.7,26.1,8.7,22538,68.3,33.3,41.4,84.1,46.5,23.9,90.1,76.1,82.6
E02000048,Barnet 025,21.6,17.87,24.35,22.42,13.77,32.3,24.2,20.7,8.9,27.9,63.9,19.3,6.2,14.7,5.1,41106,72.4,12.3,17.7,87.7,53.9,16,84.7,83.3,88.2
E02000049,Barnet 026,29.14,20.93,24.26,18.72,6.94,110.3,19.6,12.1,24.4,27,38.5,17.7,29.6,27.7,11.5,19305,64.2,36.6,45,84.8,49.5,26,89,76.6,88.1
E02000050,Barnet 027,20.68,20.67,25.29,21.56,11.8,48.5,20.3,19.2,13.2,27.6,62.4,18.8,9.1,15.4,6.5,30134,72.5,26,32.4,84.9,49.2,17.4,103.9,78.8,86.3
E02000051,Barnet 028,17.73,18.92,23.82,21.76,17.76,60.9,17.2,19.2,7.6,31.7,65.7,18.2,5.3,17.7,5.3,42567,71.7,14.9,28.7,85.8,51.4,14.1,104.7,82.3,87.4
E02000052,Barnet 029,17.35,21.72,29.42,19.85,11.66,103,18.8,21.2,9.4,32.1,73.4,11.6,6.2,12.7,5.2,37106,77.2,27.9,38.1,87.1,53.9,15.2,107.8,80,85.3
E02000053,Barnet 030,17.75,30.68,25.33,18.11,8.13,60.3,17.5,18.2,11.3,31.6,41,36.1,12.6,29.7,6.5,25778,68.3,25.2,36,88.6,49.7,19.2,84.1,77.6,83.6
E02000054,Barnet 031,18.03,25.02,24.94,21.36,10.66,49,20,17.8,9,29.6,54,25.2,9.1,25.3,5.6,32171,70,20.9,26.8,87.9,52.3,15.3,91.9,82.6,87.6
E02000055,Barnet 032,17.91,29.06,22.35,17.43,13.25,79.2,17.9,17,9,28.7,61.9,20.9,7,23,5.3,31358,68.8,21.8,37.6,86.8,52.5,15.1,84.5,78.9,83.6
E02000056,Barnet 033,21.93,15.63,22.13,23.69,16.62,28.6,25.1,21.5,6.4,24.6,79.7,9.9,2.2,9.8,3.6,63752,71.4,10.8,17.3,88.9,59.2,13,83.4,82.9,84.6
E02000057,Barnet 034,25.25,25.41,21.45,16.21,11.68,69.2,28,17.9,7.7,21.1,70.4,14.6,4.4,21.1,6.4,37191,71.6,18.1,28.3,88.3,56.9,15.3,98.1,81.7,84.3
E02000058,Barnet 035,21.97,18.93,22.94,20.55,15.62,57.8,23.1,19.1,7,30.3,76.8,10.8,3.3,15,4.6,49097,72.8,11.5,28,88.7,57.3,12.8,99.6,82.4,88.3
E02000059,Barnet 036,19.5,23.54,25.5,20.81,10.65,48.4,17.5,17,13.1,30.6,42.2,36.2,11.2,30.1,8,24087,70.1,29.3,38.9,84.6,45.8,20.7,90.2,79.7,84.4
E02000060,Barnet 037,28.86,22.54,20.4,15.51,12.69,90.9,27.9,15.9,6.4,26.4,72.6,12.9,3.4,17.7,5.7,40122,69.4,19.4,34.2,87.3,59.9,13.2,94.4,80.2,85.6
E02000061,Barnet 038,16.8,23.96,24.95,19.86,14.44,51.8,18,20,6.7,30.4,66.3,18.4,3.2,23.1,5.3,48783,73.7,11.6,36.6,88.1,55.4,12.2,90,79.6,83.5
E02000062,Barnet 039,21.45,24.87,24.16,19.98,9.53,35.3,17.1,14,17.6,30.1,49.4,22.4,15.4,27.5,8.8,23645,71,32.2,46.5,85.7,47,20.3,93.7,75.1,80.3
E02000063,Barnet 040,21.29,21.66,25.61,20.24,11.2,69,20.6,16.7,12.6,27.4,52.3,19.2,11.1,30,7.9,28148,69.9,20.5,34.1,86,48.9,16.4,96.5,77.4,84.8
E02000064,Barnet 041,19.38,23.62,25.51,18.92,12.56,81,16.8,14.7,13.7,31.8,60.9,14.7,10.4,25.2,8.1,28377,68.8,25.5,46.7,84.9,50.2,16.8,103,75.1,80.7
E02000065,Bexley 001,28.78,19.84,25.84,20.34,5.2,24.8,24.8,16.1,17.9,25.8,43.3,7,43.8,11.1,10.8,26981,71.6,25.7,36.3,89.7,57.6,28.6,86.3,74.4,79.5
E02000066,Bexley 002,24.97,19.82,22.06,23.65,9.5,61.5,17,15.4,19.9,32.8,52.9,10.6,31.8,10,12.1,22542,68.6,31.7,43,84.2,49.6,28.8,104.1,76.9,80.3
E02000067,Bexley 003,23.69,19.65,23.94,22.1,10.62,38.8,19.4,17.8,17,32.8,69.6,9.1,16.4,7.7,8.3,26156,72.3,25.4,31.4,84.6,48,27.5,89.1,78,84.9
E02000068,Bexley 004,25.46,21.4,24.09,20.15,8.89,33,19.9,18.4,17.6,32.7,65.3,8.7,21,8.2,10,26030,71.4,25.3,36.1,85.9,51.2,26.8,110.2,75.7,83
E02000069,Bexley 005,20.02,18.49,19.29,24.83,17.37,42.9,17.6,21.3,14.2,29.9,74.4,10,12.2,4.4,6.5,29097,68.2,14.8,25,81.3,45,25.9,97,78.8,84.2
E02000070,Bexley 006,18.18,16.47,18.45,28.13,18.77,42.5,21.3,24.8,10,26.4,82.4,8.2,6.6,2.9,5,33410,70.8,9.7,20.3,82.3,45.8,27,105.9,79.6,83.3
E02000071,Bexley 007,21.19,19.12,20.07,26.07,13.55,62.8,22.8,23.7,15.3,23.3,84.9,6.9,5.4,2.7,5.5,29748,71.8,13.6,21.2,84.3,47,27.8,88.2,79.9,84
E02000072,Bexley 008,28.05,19.99,23.9,18.76,9.31,27.3,20.2,15.5,22.3,30.5,71.3,3.7,20.7,5.3,12.5,22762,68.7,24.2,39.2,83.9,48.2,30.2,94.4,74.8,81.6
E02000073,Bexley 009,20.69,15.66,19.39,26.84,17.43,66.9,26.6,25.3,9.3,20.5,83.8,8.9,4.7,2.8,4.4,38384,71.3,8.4,15.9,84.9,48.3,26.3,98.6,81.5,86.9
E02000074,Bexley 010,21.65,18.47,20.38,24.04,15.47,68.8,18.2,19.8,17.3,32.7,82.1,4.8,10.7,3,8.5,24851,69.3,22.3,31.4,80.6,44.8,30.6,107.8,77.2,81.7
E02000075,Bexley 011,16.75,15.41,17.75,29.42,20.67,51.6,22.7,26.5,8.9,23.5,88.4,6.6,2.9,1.7,3.8,38685,71.2,9.1,17.2,83.2,46.2,26.4,88,81.3,83.6
E02000077,Bexley 013,20.89,17.21,20.29,26.13,15.49,70.6,25.4,24.8,10.9,22.4,82.9,9.7,4.7,3.9,4.7,31615,73.5,14.3,19.6,84.2,47.5,26.9,101.5,80.1,83.8
E02000078,Bexley 014,19.11,16.35,20.6,27.88,16.06,52.1,23.3,28.2,9.9,23,90.6,2.9,4.1,1.5,4.2,36561,74.2,9.2,15.2,86,48,28.1,88,80.1,82.9
E02000079,Bexley 015,18.36,16.85,20.97,24.41,19.42,47.5,19.8,22.4,10.7,30.4,86.6,7.6,2.7,3.4,4.4,37560,73.8,11.4,25.2,82.3,47,25.1,101.4,78,81.4
E02000080,Bexley 016,18.96,18.23,19.37,26.64,16.8,55.3,22.1,23.8,11.6,25.3,81.5,10.1,4.8,4.3,5.8,32793,71.9,11.5,23.3,84.3,47.1,25.4,105.7,79.5,84.8
E02000081,Bexley 017,18.45,16.32,18.69,26.67,19.87,34.1,20.8,23.1,11,30.2,89.6,5.3,3,2,5.8,32046,70.4,12.1,23.5,81.4,45.1,26.3,102.2,80.1,85.5
E02000082,Bexley 018,19.12,17.97,19.47,27.74,15.71,60,24.9,25.8,10.3,22.2,87.4,6.7,3.7,2.4,4.4,36144,75.2,8.8,14.6,86.3,48.4,28.7,87.2,79.9,84.7
E02000083,Bexley 019,22.32,17.42,22.11,24.11,14.04,26.8,22,21.3,12.9,30.8,87.9,4.4,5.4,2.7,6.5,29038,72.2,18.4,23.2,83.7,45.9,27.5,98.1,77.7,84.4
E02000084,Bexley 020,17.98,16.74,18.95,28.46,17.87,40.8,22.6,27.1,9.2,25,87.1,7.2,3.1,2.7,4.3,41318,73.4,9.5,15.4,85.4,48.7,25.2,96.6,83.1,86.1
E02000085,Bexley 021,20.03,19.14,19.6,25.31,15.91,49.2,24,23.9,12.4,25.3,90,4.3,2.7,2.4,4.2,33487,74.1,12,16.4,86.1,50,27.1,94,81.8,84.5
E02000086,Bexley 022,19.24,17.56,19.19,28.47,15.54,49.9,26.7,27.5,10,21.1,92.6,4.2,1.2,1.9,3.8,41089,73.8,6.5,12.5,87.3,51.3,27.7,95.6,85.2,85.1
E02000087,Bexley 023,17.68,14.37,18.74,27.1,22.11,20.4,21.6,24.4,7.8,27.6,89.7,6.1,1.8,1.7,3.8,48169,71.5,4.8,14.3,84.2,49.1,21.8,84.2,83.9,85.3
E02000088,Bexley 024,18.2,16.96,18.78,27.22,18.84,38.8,24.9,26,9.2,21.7,91.8,4.6,1.4,1.2,3.6,40186,72.9,8.4,13.3,85.4,49.4,25.9,104.6,82.2,83.9
E02000089,Bexley 025,19.35,15.06,18.62,27.56,19.41,57.4,26.7,26.9,8.1,20.9,92.4,3.3,2.1,1.9,4.1,42366,73.1,8.8,14.1,83.8,49.2,25.5,81.4,82.7,81.2
E02000090,Bexley 026,14.94,19.57,20.65,23.23,21.6,49.1,16,21.8,8.8,38.2,90.6,4.8,2,2.6,4.6,37219,71.9,12.9,27.6,81.8,48.7,21.8,103,76.9,81.3
E02000091,Bexley 027,16.27,18.43,17.87,25.42,22.02,36,17.4,20.1,9.8,36.7,89.5,5.5,2.4,2.6,4.8,37550,69.5,11.9,25.5,82.2,46.7,21.4,100.8,79.6,84.9
E02000092,Bexley 028,22.41,17.69,19.87,23.9,16.12,11,18.1,18.2,16.5,32,87.4,4.2,4.7,3.6,7.4,27187,68.4,19.9,27.4,80,44.2,26.5,99.9,78.4,81.6
E02006785,Bexley 029,18.95,18.31,18.19,26.19,18.36,47.4,18.9,23.1,12.7,27.9,82.2,8.4,6,3.9,7.1,29625,70.2,15.1,25.2,81.7,43.8,22.6,111.9,79.5,84.2
E02000093,Brent 001,19.52,22.14,22.34,23,13.01,79,21,21.4,11.3,19.2,27.9,55.5,9.6,28.1,6.3,33472,69.5,25.1,22.7,85.2,44.4,21.2,75,82.5,82.8
E02000094,Brent 002,21.74,22.15,22.78,22.27,11.07,75.6,22.4,18.6,13.1,20,37.5,38.8,13.4,26.6,6.7,30685,69.6,26.2,24.7,86.1,49.1,20.8,99.3,81.9,84.7
E02000095,Brent 003,17.87,23.11,20.99,23.51,14.52,63.7,19.7,20,10.4,20,27.8,55.4,7.6,29.7,7.7,33359,68.1,28.3,28.3,83.8,44.4,20,74,82.2,85.4
E02000096,Brent 004,16.86,21.26,19.12,25.66,17.1,45.1,20.6,23.8,8.1,20,32.3,57.5,4.1,19.4,5.4,51120,70.9,18.4,18.6,85.2,46.6,16.9,88.8,83.2,87.6
E02000097,Brent 005,20.58,21.96,21.5,23.36,12.59,48.1,23,19.1,11.1,21.7,36.1,41.5,11.6,24.9,7.2,30181,68.7,25.5,23.8,85.2,44.9,22.8,92.9,79.5,88.1
E02000098,Brent 006,19.3,22.77,21.11,23.16,13.66,43.3,20.1,17.8,11.3,24.3,32.8,41.2,12.7,25.6,7.2,36992,68.4,28.4,25.8,85.5,47.8,17.6,89.1,81.1,80.7
E02000099,Brent 007,22.34,23.83,24.53,19.11,10.19,67.2,22.4,18.2,12.7,19.9,30,45.8,14,29.4,7,34889,70.4,26,30,87.3,48.7,18.2,97,82.3,87
E02000100,Brent 008,14.87,28.25,18.88,23.92,14.08,40.3,18.5,22.3,8.1,26.3,31.6,52.6,8.3,22.1,4.8,48533,68.9,17.6,22.8,87.7,49.4,16,90.6,81,79.2
E02000101,Brent 009,21.9,22.49,23.17,20.6,11.84,67.6,19.2,15.4,15.7,28.4,30.3,32.6,22.5,28,9.6,27696,66.1,35.3,39.7,83.9,46.9,21.3,86.6,76.9,81.3
E02000102,Brent 010,26.03,21.41,22.68,20.2,9.68,57.3,20.4,14.3,17,25,31.7,33.5,23.4,31.2,10.8,23730,66.1,31,38.1,85.1,45.2,22.6,88.9,80.2,88.6
E02000103,Brent 011,23.51,21.4,21.76,21.53,11.8,49.5,19.8,15.2,17.5,25.3,42.2,23.2,21.1,25.9,9.3,26806,65.8,29.5,36.2,84.4,47.3,21,90.6,81.3,87
E02000104,Brent 012,17.97,23.05,21.22,22.42,15.34,61.2,16.6,18.8,11.3,23.8,29.9,46,13.3,25.2,7.5,32803,67.6,24.4,31.9,82.9,45.3,19,89.1,80.2,83.6
E02000105,Brent 013,20.82,23.44,26.08,19.92,9.74,68.9,21.4,16.3,11.9,23.4,24.2,53.7,13.9,31.3,7.4,30264,69.5,31,35.7,87.1,48.6,20.6,71.5,84.4,85.8
E02000106,Brent 014,22.82,24.18,23.9,20.2,8.9,77.6,18.1,13.8,16.1,26.2,37.6,27.8,21.9,32.9,10,24454,68.2,27.6,44.2,86.4,47.2,22.1,94.9,79.2,84.3
E02000107,Brent 015,17.12,27.11,28.18,19.5,8.08,115.6,14.5,16.6,11.1,31.1,53.5,20.6,12.8,26,7.6,30789,73.8,31.1,52.5,87.2,51.7,16.4,90.7,77.4,83
E02000108,Brent 016,20.63,22.19,24.57,20.99,11.62,80.9,20.1,15.9,12.2,23.4,26.2,51.2,15,31.3,7.1,28659,69.9,28.7,34.3,85.5,47.2,22.9,93.9,80,83.3
E02000109,Brent 017,19.1,26.5,24.17,19.37,10.86,51.9,19.5,19,11.2,23.7,23.7,44.8,22,28.9,8.3,28215,69.7,26.7,41.1,85.3,46.6,24,80.6,77.4,84.8
E02000110,Brent 018,16.05,27.35,24.68,22.01,9.9,104.2,15,19.3,11.4,27.6,53.1,20.6,14,21.8,7.3,36528,73.2,27.1,43.4,86.3,49.3,16.3,93,79.2,86.9
E02000111,Brent 019,19.02,24.09,24.46,22.22,10.2,89.3,20.2,15.6,11.1,19.4,16.2,66.2,12,36.5,6.8,27150,69.7,35.5,39,84.6,47.3,22.5,67.3,77.7,83.5
E02000112,Brent 020,17.22,26.44,23.35,22.08,10.91,75,17.8,17.1,11.1,20.3,21.1,53.4,17.8,36,7.6,26226,71.3,28.6,42.4,85.2,45.1,24.6,81.4,78.6,83.8
E02000113,Brent 021,28.43,22.35,20.04,20.57,8.61,66.2,17.5,10.3,28,26.5,24.7,18.6,44.2,25.1,13.6,20202,62.2,41.3,48.9,83.4,47.3,30.7,83.5,77.4,84.7
E02000114,Brent 022,17.03,28.63,29.26,17.21,7.87,150.2,14.4,17.2,11.5,31.3,52.6,20.6,15.1,26.5,7.6,28588,75.8,35.1,57,87.9,52,16.6,91.8,75,86.1
E02000115,Brent 023,13.76,28.26,28.86,19.09,10.02,98.9,11.3,17.1,8.6,41.7,62.1,12.4,11.7,18.6,6.8,38186,75.6,35.2,55.2,85.1,52,15.2,109.3,79.4,83.2
E02000116,Brent 024,22.13,23.78,28.04,18.59,7.46,78,15.1,11.6,17.8,31.8,40.8,23.1,22.9,33.1,9.9,23147,70,45.4,59.4,85.8,47.3,22.2,100.9,72.2,82.7
E02000117,Brent 025,25.92,20.89,23.38,20.58,9.22,136.7,16.1,9.8,23.5,33.6,31.1,15.1,41.8,27.2,14,21148,65.1,37.6,57.7,83.7,45.8,28.6,89.7,75.3,82.7
E02000118,Brent 026,20.14,23.97,23.36,23.34,9.19,78.7,20.2,16.5,13.7,20.3,17.3,61,15.1,36,7.5,24942,68.7,33.6,37.2,85.3,45.4,21.9,81.1,77.4,85.8
E02000119,Brent 027,27.87,21.92,20.9,20.53,8.77,29.5,17.5,9,24.8,32.3,21.9,14.8,51.2,22.3,14.2,21638,61.6,41,52.6,83.6,48.9,31.1,103.9,75.2,83.1
E02000120,Brent 028,14.22,26.46,32.52,18.1,8.7,184.8,11.3,20.5,9.5,38.4,64.2,11.3,12.2,18.4,6.4,36708,78,34.3,60.3,87.3,52.5,17.9,96.6,76.1,82.5
E02000121,Brent 029,17.54,26.12,24.11,21.86,10.37,67.1,18.8,18.3,10.3,18.4,16,70.3,8.4,40.4,6.7,26397,69.9,32.5,37.8,85.7,45.7,22.7,81.6,77.7,83.7
E02000122,Brent 030,18.91,20.66,24.68,22.89,12.86,66.6,18.7,16.6,11.4,29.1,58.2,15.5,11.6,15.8,5.9,47307,73.7,26.9,38,85.9,51.7,16.3,98.7,84.7,86
E02000123,Brent 031,23.41,22.3,27.01,20.08,7.2,144.2,14.3,11.4,19.6,35.2,39.8,14.7,33.1,31.5,11.9,23115,70,37.6,60.3,86,49,24.7,102.8,74.9,84.9
E02000124,Brent 032,17.21,22.98,31.29,20.51,8.01,93.1,14.9,17.9,11.7,32.6,64.8,10.3,12.6,16.4,6.1,42553,77.7,27.4,48.8,88.8,56.1,17.8,80.9,79.6,84.7
E02000125,Brent 033,17.98,21.59,29.06,21.1,10.26,141.4,15.9,16.5,12.9,31,53.9,15.4,18.8,18.7,6.7,37288,76.1,29.9,45.5,86.9,51.1,20.5,93,79.1,85
E02000126,Brent 034,23.79,21.02,26.32,20.36,8.51,168.8,13.6,10.6,18.7,41.4,33.1,11.5,39.3,26.9,14.6,22165,68.1,48.7,65.7,82.8,46.5,28.1,91,74.7,84.8
