MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02006782,Bromley 040,82,46.4,23.7,95.6,79.1,83
E02006787,Bromley 041,86.9,53,21.8,107.4,82.4,84.4
E02006789,Bromley 042,84.2,49.2,25.1,92.9,82,85.6
E02000166,Camden 001,83.3,51.2,16.5,86.8,83.4,84.5
E02000167,Camden 002,89.5,62.1,11.2,101.9,82.4,87.3
E02000168,Camden 003,85.1,53.1,15.2,107,74,78.6
E02000169,Camden 004,90.2,61.6,11.7,95.2,81,83.6
E02000170,Camden 005,89,57.2,12.6,94.1,78.5,83.9
E02000171,Camden 006,86.3,55.7,14.2,85.3,82.7,89
E02000172,Camden 007,80.2,46.5,21.3,110.5,73.5,80.9
E02000173,Camden 008,89.2,60.3,12,99.3,79.6,85.3
E02000174,Camden 009,84.7,50.4,16.7,110.2,74.5,82.3
E02000175,Camden 010,88.2,56.3,13.2,86.5,80.2,83.3
E02000176,Camden 011,90.2,59.3,12,79,87.2,86.9
E02000177,Camden 012,81.5,48.3,17.9,111.5,79.3,80.6
E02000178,Camden 013,83.1,49.6,16.9,105.7,75.5,81.9
E02000179,Camden 014,87.7,56.3,13.9,99.2,82,83.3
E02000180,Camden 015,86,52,16.1,119.3,77.2,84.3
E02000181,Camden 016,89.8,59.6,12.1,105,80.5,84.6
E02000182,Camden 017,86.5,53.8,14.2,102.9,82.1,84.1
E02000183,Camden 018,85.6,55.7,15.1,100,80.5,85.6
E02000184,Camden 019,83.5,48.6,18.7,104.5,75.8,82.7
E02000185,Camden 020,81.1,47.1,18.9,114.1,72.4,80.1
E02000186,Camden 021,85.2,55.3,15.9,90.8,74.4,83.2
E02000187,Camden 022,80.3,45.1,22.2,97.1,76.3,81.6
E02000188,Camden 023,83.6,50.6,19.5,106.2,76,80.9
E02000189,Camden 024,86.1,54.1,16.7,94.4,77.4,81.9
E02000190,Camden 025,84.5,51,14.1,91.9,77.5,81.8
E02000191,Camden 026,90.4,59,11.5,93,83,83.7
E02000192,Camden 027,83.2,49.6,17.6,89.3,76.6,86.6
E02000193,Camden 028,86.3,53.1,13.7,102.3,80.1,82.7
E02000194,Croydon 001,86.5,50,21.4,107.3,75.1,80.5
E02000195,Croydon 002,86.3,47.5,23.2,85.7,80.9,81.9
E02000196,Croydon 003,84.4,46.1,23.7,95,76.9,81.3
E02000197,Croydon 004,85.4,47,23.5,100.3,79.3,84.2
E02000198,Croydon 005,86.3,48.7,29.2,96.5,78.6,81
E02000199,Croydon 006,87.7,48.9,29.3,118.9,79.8,83.2
E02000200,Croydon 007,85.4,47.6,25.1,95.2,76.3,80.8
E02000201,Croydon 008,84.8,46.4,28.1,110.2,77.4,84.5
E02000202,Croydon 009,86,47,27.2,72.1,82.3,82.9
E02000203,Croydon 010,84.9,46.5,29.5,94.3,77.5,80.4
E02000204,Croydon 011,85.7,47.9,25.3,84.6,78.3,83.7
E02000206,Croydon 013,84.6,46.3,28.4,94.2,77.8,83.2
E02000207,Croydon 014,85.2,47.2,28.8,101.1,76.5,79.7
E02000208,Croydon 015,85.2,47.7,27.4,108.1,72.4,79.9
E02000209,Croydon 016,87.1,47.3,29,92.6,79.9,85.6
E02000210,Croydon 017,87.9,47.8,26.3,91.1,80.5,82.6
E02000211,Croydon 018,84.9,46.3,24.1,89,83,87
E02000212,Croydon 019,87.2,46.7,27.7,100.1,77.3,84.4
E02000213,Croydon 020,84.1,46.8,23.3,97.3,74.2,79.7
E02000214,Croydon 021,85.7,48.2,23.1,89.4,81.6,83.7
E02000215,Croydon 022,85.1,47.5,20,104.6,77.9,81.4
E02000216,Croydon 023,84.1,47.4,14.3,93.6,81.8,82
E02000217,Croydon 024,87.1,49.9,23.2,115.3,76.4,83.2
E02000218,Croydon 025,85.9,49.1,26.4,86,80.7,84.3
E02000219,Croydon 026,83.5,46.5,21.3,88.6,83.6,84.4
E02000220,Croydon 027,85.4,49.9,18.4,103.3,76.3,79.5
E02000221,Croydon 028,83.6,45.2,23.7,106.1,75.7,78.7
E02000222,Croydon 029,87.3,52.5,19.1,110.5,79.3,86.8
E02000223,Croydon 030,83.5,48.4,29.7,110,76.9,78.6
E02000224,Croydon 031,88,51.4,19.7,112.2,78.1,86.7
E02000225,Croydon 032,82.4,44.1,29.9,104.6,75.3,81.8
E02000226,Croydon 033,85.9,49.1,21.8,87.9,84.2,90
E02000227,Croydon 034,85.3,47.2,26.8,89.7,83.1,86.1
E02000228,Croydon 035,86,52.2,17.9,89.8,84.2,86.8
E02000229,Croydon 036,79.6,42.4,30.3,113.6,75.5,79.1
E02000230,Croydon 037,84.6,50.2,18.7,96.8,81.2,84.2
E02000231,Croydon 038,85.3,52.1,17.5,103.1,79.3,80.8
E02000232,Croydon 039,84,48.3,24.4,94.8,79.4,82.1
E02000233,Croydon 040,85.5,50.4,22.8,83.2,79.6,80.1
E02000234,Croydon 041,85.9,49.4,22.3,87.5,80.8,84.9
E02000235,Croydon 042,87.2,52.1,21.7,100.8,81.3,83.4
E02000236,Croydon 043,87.8,50.5,23.9,97.9,80.9,86.3
E02000237,Croydon 044,82.2,45.4,24.1,91,81.8,84.9
E02006788,Croydon 045,85.1,45.8,28.5,108.1,79.9,80.1
E02000238,Ealing 001,87,46.9,23.7,91.2,78.1,84.4
E02000239,Ealing 002,87.7,45.9,20,77.4,82.3,87.5
E02000240,Ealing 003,84.7,45.2,25.7,98.1,78,84.7
E02000241,Ealing 004,88,47.3,22.6,84.1,85.7,86.2
E02000242,Ealing 005,86.5,45.3,18.6,95.9,80.1,82.9
E02000243,Ealing 006,85,43.9,20.5,89.8,78.1,81.4
E02000244,Ealing 007,87.4,47.3,18.3,84,81.6,87.1
E02000245,Ealing 008,83.3,44.7,26,87.1,78.8,83.5
E02000246,Ealing 009,84.4,46.5,26.6,99.4,77.3,81.2
E02000247,Ealing 010,84.3,46.5,23.8,80.5,78.4,81
E02000248,Ealing 011,87.7,51.3,13.7,85.1,82.4,84.6
E02000249,Ealing 012,84.7,46.7,19.8,91.8,81,83.1
