MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000776,Redbridge 026,86,49.2,19.1,90,76.9,84.6
E02000777,Redbridge 027,83.8,49.6,18.7,95.8,78.7,83.1
E02000779,Redbridge 029,86.3,46.2,20.1,96.2,77.1,83
E02000780,Redbridge 030,86.7,49.3,23.4,83.7,76.5,82.6
E02000781,Redbridge 031,85.2,47.7,23.1,80.6,78.3,82.8
E02000782,Redbridge 032,85.6,47.6,23.1,70.8,74.1,79.5
E02000783,Redbridge 033,85.3,46.6,25.6,86.9,75.1,79.9
E02006800,Redbridge 034,85.7,47.2,22.8,95.7,79.3,80.8
E02006924,Redbridge 035,84.5,47.1,18.3,77.5,78.7,82.1
E02006925,Redbridge 036,85.1,47.1,20.1,86.9,82.1,85
E02000784,Richmond upon Thames 001,88.9,60.5,13,100.3,83.6,86.6
E02000785,Richmond upon Thames 002,90.1,61.7,11.2,88.3,81.9,86.6
E02000786,Richmond upon Thames 003,89.6,60.6,13.5,102.7,80.2,84.1
E02000787,Richmond upon Thames 004,88.5,57.7,14.2,105.2,79.7,85.6
E02000788,Richmond upon Thames 005,90.3,60.5,13.1,93.3,83.1,86.6
E02000789,Richmond upon Thames 006,89.1,59.7,12.9,96.1,79.4,84.4
E02000790,Richmond upon Thames 007,92.6,64.5,11.9,107,81.8,85
E02000791,Richmond upon Thames 008,91.1,61.7,10.9,84.1,79,88.4
E02000792,Richmond upon Thames 009,89.3,60.9,12.7,90.6,79.5,81.6
E02000793,Richmond upon Thames 010,85.6,50.5,21,72.5,81.8,83.8
E02000794,Richmond upon Thames 011,89.3,59.1,15.2,109.4,81.8,87.3
E02000795,Richmond upon Thames 012,89,60,13.8,92.4,84.8,89
E02000796,Richmond upon Thames 013,84.7,48.1,22.3,95,78.5,84.6
E02000797,Richmond upon Thames 014,91.9,60.1,12.2,99.5,79.1,84.2
E02000798,Richmond upon Thames 015,88,55.5,17.4,95.6,79.2,86.1
E02000799,Richmond upon Thames 016,91.1,60,13.3,98.6,85.1,83.8
E02000800,Richmond upon Thames 017,85.1,49.3,17.5,115.4,75.6,85.4
E02000801,Richmond upon Thames 018,91.3,60.7,14.5,93.8,81.1,87.2
E02000802,Richmond upon Thames 019,87,56.1,15.5,112.7,81.5,83
E02000803,Richmond upon Thames 020,84.4,47.7,18.5,96.9,80.5,85.8
E02000804,Richmond upon Thames 021,88.2,57.5,13.3,98.5,82.4,83.4
E02000805,Richmond upon Thames 022,87.7,56.9,13.9,124.5,79.3,85
E02000806,Richmond upon Thames 023,87,54.6,17.4,99.3,81.5,84.6
E02000807,Southwark 001,90.9,58.1,15.8,113,85.1,85.8
E02000808,Southwark 002,88.7,57.4,16.4,92.1,78.3,91
E02000809,Southwark 003,93.3,62.6,16.1,81.2,81.5,93.3
E02000810,Southwark 004,85.5,51.8,23.8,107.4,78.6,80.5
E02000812,Southwark 006,86.4,55,22.2,111.2,73.5,81.7
E02000813,Southwark 007,85.3,51.5,23,99.4,78.5,82.8
E02000814,Southwark 008,90.1,56.6,15.5,97.5,79.2,79.8
E02000815,Southwark 009,91,59,17.9,77.3,84.3,87.7
E02000816,Southwark 010,84.6,50.4,25.1,112.5,76.9,82.3
E02000817,Southwark 011,79.6,46.3,25.2,121.1,76.7,81.1
E02000818,Southwark 012,83.8,51.1,23.8,116.8,75.8,82.9
E02000819,Southwark 013,84.5,50.7,24.7,106.3,75.8,84.7
E02000820,Southwark 014,85.9,52.2,23.8,97.3,77.9,82.4
E02000821,Southwark 015,85.4,51.6,27.3,87.4,84.5,84.2
E02000822,Southwark 016,85.5,51,29.5,86.5,76.4,82.5
E02000823,Southwark 017,85,51.2,24.4,96.6,77.1,84
E02000824,Southwark 018,85.1,51.8,30.9,90.3,82.2,84.3
E02000825,Southwark 019,86.2,52.6,33.9,98,81.9,77.1
E02000826,Southwark 020,86.3,49.7,26.5,111.8,74.1,79.3
E02000827,Southwark 021,85.8,50.3,27.1,97.2,73.9,79.1
E02000828,Southwark 022,84.7,51.1,30.2,83.8,74.9,83.1
E02000829,Southwark 023,82.5,48.1,28.5,99.3,72.2,79.5
E02000830,Southwark 024,87.4,56,19.3,104.7,77.5,82.3
E02000831,Southwark 025,85.8,52.6,21.3,104.9,76.9,82.8
E02000832,Southwark 026,82.4,49.9,27.7,104.4,76.2,81.8
E02000833,Southwark 027,88.5,54.1,22.5,104.1,76.5,89.8
E02000834,Southwark 028,87.8,56,17.4,101.9,80.1,86.5
E02000835,Southwark 029,86.3,53,22.1,85.6,80.3,84.9
E02000836,Southwark 030,88.2,57.1,16.8,109.6,81.5,84.8
E02000837,Southwark 031,90.7,62.9,12,88.3,82.6,84
E02000838,Southwark 032,87,53.8,19.7,108.4,80.1,84.2
E02000839,Southwark 033,85.9,53.5,18.4,95.9,82.3,87.1
E02006802,Southwark 034,85.8,53.7,18.2,88.5,78.3,87.8
E02000840,Sutton 001,83.1,46.4,29.5,102.7,75.7,82.1
E02000841,Sutton 002,83.7,45.5,27.4,107.5,75.1,82.3
E02000842,Sutton 003,85.6,48.2,26.2,108.5,78.8,85.7
E02000843,Sutton 004,88.3,49.1,25.5,105.5,80.5,83.9
E02000844,Sutton 005,84.6,47.3,28,105.3,76.2,84.1
E02000845,Sutton 006,88.7,52.4,24.9,79.4,83.5,85
E02000846,Sutton 007,84.3,48.8,24.3,86.1,79.7,82.1
E02000847,Sutton 008,85.4,49.2,22.4,112,81,85.1
E02000848,Sutton 009,88.3,50.8,25.9,91.8,80.8,90.3
E02000849,Sutton 010,85.6,47.6,25.1,94.2,80.3,79.4
E02000850,Sutton 011,86.4,47.9,24.8,98.1,79.1,84.4
E02000851,Sutton 012,82.7,45.2,21.7,102.2,76.6,81
E02000852,Sutton 013,88.3,50.6,22.4,87.1,80.2,83.8
E02000853,Sutton 014,87.3,49.9,23.3,90.9,78.4,83.4
E02000854,Sutton 015,86.6,51.3,19.9,85.5,80.5,84.2
E02000855,Sutton 016,87.4,51.7,20.1,91.4,83.5,84.2
E02000856,Sutton 017,86.7,48,19.5,86,80.7,85
E02000857,Sutton 018,84.8,49,16.5,84.1,76.9,81.2
E02000858,Sutton 019,83.1,45,26.5,97.6,74.2,82.6
E02000859,Sutton 020,82.5,47.2,21.4,90.6,80.8,84
E02000860,Sutton 021,83,46.2,18.8,102.8,77.7,81.1
E02000861,Sutton 022,88.3,52.9,18.3,87.6,84.5,86.1
E02000863,Sutton 024,85,48.6,22.3,90,81,82.7
E02006836,Sutton 025,87,51.9,17.9,79.6,81,84
E02000864,Tower Hamlets 001,81.6,45.6,24.7,117.9,74.1,78.8
E02000865,Tower Hamlets 002,83,47,22,96.6,75.4,83.1
E02000866,Tower Hamlets 003,86.6,51.5,18,108.1,78.4,80.2
E02000867,Tower Hamlets 004,88.4,52.6,18.7,90.1,75.4,81.6
E02000868,Tower Hamlets 005,86.7,52.6,18.5,93.8,75.1,77.9
E02000869,Tower Hamlets 006,83.2,47.9,19.3,131.9,75.6,78.6
E02000870,Tower Hamlets 007,84.4,48.6,19.8,108.9,75.3,79.7
E02000871,Tower Hamlets 008,85.7,46.2,24.9,104.2,76.6,81.1
E02000872,Tower Hamlets 009,86.1,50.8,20.8,89.2,75.6,84.7
E02000873,Tower Hamlets 010,88,52.1,19.3,82,76.9,83.5
E02000874,Tower Hamlets 011,84.4,47.6,22.1,109.5,76.1,81
E02000875,Tower Hamlets 012,85.8,47.5,23.9,87.4,79.6,84.8
E02000876,Tower Hamlets 013,85.4,48.1,17.9,98.1,75.1,86.3
E02000877,Tower Hamlets 014,86,49.7,21,118.5,72.7,78.2
E02000878,Tower Hamlets 015,86.4,52.3,18.1,101.5,74.1,80.5
E02000879,Tower Hamlets 016,81.6,46.4,18.4,101.7,76.9,81.8
E02000880,Tower Hamlets 017,84.7,47.6,17.2,110.3,70.5,78.9
E02000881,Tower Hamlets 018,84.6,46.3,24.4,100.3,75,80.6
E02000882,Tower Hamlets 019,83.6,48.1,20.5,108.7,72.9,81.2
E02000883,Tower Hamlets 020,81.7,45,25.1,87.5,77.3,81.4
E02000884,Tower Hamlets 021,88.8,53.7,16,118.1,71.3,83.1
E02000885,Tower Hamlets 022,81.7,43.6,21.6,127.1,72.8,81.3
E02000886,Tower Hamlets 023,87.7,52,17,104.3,78.5,80.5
E02000887,Tower Hamlets 024,85,46.9,24.3,94.6,75,78
E02000888,Tower Hamlets 025,89.3,53.6,17.2,96.2,79.9,79.9
E02000889,Tower Hamlets 026,88.2,51.7,15.3,107.4,74.9,80.4
E02000890,Tower Hamlets 027,91.2,58.2,12.9,73.4,82.3,83.8
E02000891,Tower Hamlets 028,91.8,56.8,16.6,89.7,77.8,84.8
E02000893,Tower Hamlets 030,85.8,49.7,17.4,110.9,76.6,82.5
E02000894,Tower Hamlets 031,92.3,57.1,14,70.9,85.3,85.5
E02006853,Tower Hamlets 032,90.3,55.9,16.6,110.8,79.1,86.5
E02006854,Tower Hamlets 033,93.2,61.2,16.6,110.8,79.1,86.5
E02000895,Waltham Forest 001,80,42.8,26.4,97.6,79.3,83.9
E02000896,Waltham Forest 002,83.8,48.5,21.5,94,79.8,82.6
E02000897,Waltham Forest 003,80.2,44.4,25.8,118.7,75.8,80.8
E02000898,Waltham Forest 004,81.6,44.7,23.4,90.3,78.5,83
E02000899,Waltham Forest 005,83.5,45.2,26.2,81.8,78.2,83.6
E02000900,Waltham Forest 006,83.3,44.8,26.3,98.8,77.4,80.2
E02000901,Waltham Forest 007,84.9,50,23.6,100.9,78.7,83
E02000902,Waltham Forest 008,85.6,46.7,27.6,88.3,77.6,85.8
E02000903,Waltham Forest 009,83.1,45.9,26.4,109.1,74.9,83.3
E02000904,Waltham Forest 010,87.6,49,25.5,102.3,79.1,83.9
E02000905,Waltham Forest 011,86.5,47.3,23.9,81.8,75.6,84.4
E02000906,Waltham Forest 012,87.2,48,20.9,92.5,76.5,81.3
E02000907,Waltham Forest 013,83.7,45.4,23.9,93.5,73.5,80.5
E02000908,Waltham Forest 014,87.3,46.5,21.6,97.6,76.6,83
E02000909,Waltham Forest 015,86.8,49.3,20.1,94.1,79.7,82.4
E02000910,Waltham Forest 016,85.6,47.7,18.9,103,76.7,80.4
E02000911,Waltham Forest 017,86.6,47,20.2,108.8,76.1,78.3
E02000912,Waltham Forest 018,84.3,44.7,23.8,91.9,76.7,80.4
E02000913,Waltham Forest 019,85.6,47.7,21.2,105,77.8,81.5
E02000914,Waltham Forest 020,84.3,44.8,25.3,102.3,72.5,77.1
E02000915,Waltham Forest 021,86.3,48.4,18.2,97.4,76.5,78.6
E02000916,Waltham Forest 022,87.9,47.5,24.7,110.5,75.6,80.5
E02000917,Waltham Forest 023,89.5,49.1,22.5,113.1,75.4,82.1
E02000918,Waltham Forest 024,87.3,50,20.6,86.8,76.1,81.9
E02000919,Waltham Forest 025,87.6,49.1,22.5,106.7,77.6,81.7
E02000920,Waltham Forest 026,86,47,24.5,86.6,74.6,80.1
E02000921,Waltham Forest 027,85.9,46.6,24.1,91.7,75.7,81.8
E02000922,Waltham Forest 028,87.2,49.6,25.8,110.7,75.7,78.2
E02000923,Wandsworth 001,89.3,59.2,12.1,107.5,77.6,78.9
E02000924,Wandsworth 002,88.1,53.5,22,103.3,74.1,84.3
E02000925,Wandsworth 003,85.4,52.1,18.6,118.1,73.4,81.2
E02000926,Wandsworth 004,90.2,58.1,15.3,105.3,74.9,80.2
E02000927,Wandsworth 005,85.9,54.8,16.4,114.4,76.3,80.5
E02000928,Wandsworth 006,91.4,64.1,12.1,103.5,82.5,84.8
E02000929,Wandsworth 007,84.7,48.6,25.3,102.7,74.1,84.5
E02000930,Wandsworth 008,91.5,62.9,12.6,96.2,76,81
E02000931,Wandsworth 009,93.6,67.6,10.9,104.1,84.2,86.6
E02000932,Wandsworth 010,93.7,66.2,11,112.7,80.3,86.9
E02000933,Wandsworth 011,89.7,58.6,12.4,90.5,80.6,87
E02000934,Wandsworth 012,91,59.8,14,92.3,76.3,80.3
E02000935,Wandsworth 013,84.2,48.9,17.3,130.8,75,82.1
E02000936,Wandsworth 014,88.2,57.3,12.2,121.1,80.7,84.3
E02000937,Wandsworth 015,91.9,66.8,12.4,115.9,78.8,87.7
E02000938,Wandsworth 016,83.3,50.5,16.3,100.8,77.4,80.3
E02000939,Wandsworth 017,90.9,64.8,11.2,95.9,79.2,81.9
E02000940,Wandsworth 018,88.6,55.5,18.8,88.8,80.2,86.9
E02000941,Wandsworth 019,90.7,62.3,13.6,104.1,76.9,82
E02000942,Wandsworth 020,91.3,62.6,12.3,108.4,80.3,87.4
E02000943,Wandsworth 021,91.5,62.9,13.1,101.4,79.5,84
E02000944,Wandsworth 022,84.9,51.2,18.5,98.3,73.7,76.5
E02000945,Wandsworth 023,84,48.1,19.9,110,76.7,80
E02000946,Wandsworth 024,86.4,55,18.8,102.8,79.6,83.2
E02000947,Wandsworth 025,91.2,61.3,12.8,96,80,83.9
E02000948,Wandsworth 026,90.9,59.7,13.2,94.3,78.4,84
E02000949,Wandsworth 027,90,61.2,12.4,119.4,74.4,78.1
E02000950,Wandsworth 028,89.2,56.2,13.9,117.6,80.9,83.5
E02000951,Wandsworth 029,87,56.8,14.7,110.2,77.5,83.6
E02000952,Wandsworth 030,88.3,59,14.2,104.6,79.4,86.1
E02000953,Wandsworth 031,90.9,60.8,14.4,115.8,79.6,85.5
E02000954,Wandsworth 032,88,53.1,14.4,82.8,85.4,84.8
E02000955,Wandsworth 033,85.7,50,17.7,102.4,78.2,82.2
E02000956,Wandsworth 034,87.5,51.5,15.2,132.6,74.2,79
E02000957,Wandsworth 035,87.3,51,16.1,88.5,77.8,85
E02000958,Wandsworth 036,86.9,51.9,17.5,95.2,82.7,82.5
E02000959,Wandsworth 037,86.1,50,19.3,116.5,75.8,80.3
E02000960,Westminster 001,86.1,55.4,13.6,92.2,88.5,87.4
E02000961,Westminster 002,86.1,55.7,14.3,76.6,84.2,88.1
E02000962,Westminster 003,83.1,51.9,13.6,74.5,85.4,86.7
E02000963,Westminster 004,80.1,45.2,23.4,98.2,74.7,83.1
E02000964,Westminster 005,81.8,48.9,20.9,109,73.8,82.3
E02000965,Westminster 006,88.5,57.7,13.5,95.7,80.2,87
E02000966,Westminster 007,88.5,59.4,12.5,92.1,82.1,87.2
E02000967,Westminster 008,90.9,59.3,11.6,78.9,90.9,88.6
E02000968,Westminster 009,77.2,43.2,19.4,83.9,78.1,81.5
E02000969,Westminster 010,78.7,44.6,21.1,71.3,76.5,80.5
E02000970,Westminster 011,91.8,62.1,12,77.9,86.3,86.4
E02000971,Westminster 012,89,57.9,11.8,85.8,88.5,91.3
E02000972,Westminster 013,86.8,55.1,14.2,86.9,87.4,85
E02000973,Westminster 014,87.1,57.4,13.5,92.3,84.6,83.6
E02000974,Westminster 015,87.3,54.5,12.3,101.8,86,85.3
E02000975,Westminster 016,91.4,60.8,11.2,78.9,87.6,86.7
E02000976,Westminster 017,89,58.6,12.2,83.8,80.6,85.7
E02000977,Westminster 018,89,55.7,15.5,81.6,88.6,87.2
E02000978,Westminster 019,94,63.7,13.7,69,97.7,93.7
E02000979,Westminster 020,86.8,54.2,15.7,68.8,83.3,92.2
E02000980,Westminster 021,83.5,50.8,16.7,87.6,79.7,85
E02000981,Westminster 022,88.4,57.8,12.5,76.9,83.2,86.9
E02000982,Westminster 023,83.2,50.5,17.7,89.9,82.2,92.8
E02000983,Westminster 024,82.4,49.3,15,72.8,84.3,86.5
