MSOA code,Total_Death
E02000726,13
E02000727,26
E02000728,18
E02000729,22
E02000730,25
E02000731,17
E02000732,18
E02000733,14
E02000734,20
E02000735,29
E02000736,19
E02000737,20
E02000738,15
E02000739,12
E02000740,13
E02000741,19
E02000742,20
E02000743,27
E02000744,15
E02000745,13
E02000746,19
E02000747,21
E02000748,11
E02000749,24
E02000750,8
E02000751,40
E02000752,26
E02000753,9
E02000754,16
E02000755,11
E02000756,29
E02000757,25
E02000758,26
E02000759,27
E02000760,23
E02000762,22
E02000763,14
E02000764,31
E02000765,20
E02000767,36
E02000768,7
E02000769,51
E02000770,23
E02000772,20
E02000773,20
E02000774,18
E02000776,15
E02000777,13
E02000779,26
E02000780,41
E02000781,50
E02000782,38
E02000783,9
E02000784,10
E02000785,9
E02000786,14
E02000787,5
E02000788,14
E02000789,6
E02000790,5
E02000791,6
E02000792,22
E02000793,19
E02000794,9
E02000795,6
E02000796,32
E02000797,6
E02000798,14
E02000799,11
E02000800,7
E02000801,11
E02000802,27
E02000803,19
E02000804,13
E02000805,10
E02000806,20
E02000807,8
E02000808,5
E02000809,3
E02000810,5
E02000812,30
E02000813,8
E02000814,25
E02000815,5
E02000816,15
E02000817,15
E02000818,16
E02000819,16
E02000820,6
E02000821,10
E02000822,12
E02000823,7
E02000824,13
E02000825,29
E02000826,17
E02000827,13
E02000828,12
E02000829,35
E02000830,9
E02000831,11
E02000832,15
E02000833,7
E02000834,13
E02000835,9
E02000836,8
E02000837,13
E02000838,9
E02000839,8
E02000840,7
E02000841,19
E02000842,23
E02000843,12
E02000844,14
E02000845,12
E02000846,18
E02000847,29
E02000848,16
E02000849,13
E02000850,30
E02000851,36
E02000852,13
E02000853,14
E02000854,9
E02000855,20
E02000856,15
E02000857,36
E02000858,14
E02000859,30
E02000860,16
E02000861,15
E02000863,10
E02000864,25
E02000865,10
E02000866,16
E02000867,11
E02000868,18
E02000869,15
E02000870,15
E02000871,25
E02000872,20
E02000873,14
E02000874,8
E02000875,22
E02000876,9
E02000877,24
E02000878,17
E02000879,25
E02000880,12
E02000881,18
E02000882,28
E02000883,20
E02000884,10
E02000885,25
E02000886,10
E02000887,34
E02000888,8
E02000889,14
E02000890,3
E02000891,4
E02000893,13
E02000894,15
E02000895,34
E02000896,38
E02000897,24
E02000898,31
E02000899,20
E02000900,21
E02000901,17
E02000902,15
E02000903,10
E02000904,11
E02000905,20
E02000906,17
E02000907,15
E02000908,17
E02000909,11
E02000910,15
E02000911,18
E02000912,22
E02000913,20
E02000914,36
E02000915,21
E02000916,13
E02000917,18
E02000918,14
E02000919,15
E02000920,16
E02000921,12
E02000922,22
E02000923,18
E02000924,16
E02000925,13
E02000926,19
E02000927,12
E02000928,4
E02000929,16
E02000930,8
E02000931,6
E02000932,7
E02000933,5
E02000934,4
E02000935,13
E02000936,13
E02000937,6
E02000938,29
E02000939,23
E02000940,4
E02000941,13
E02000942,9
E02000943,8
E02000944,21
E02000945,18
E02000946,9
E02000947,7
E02000948,18
E02000949,16
E02000950,8
E02000951,7
E02000952,10
E02000953,2
E02000954,14
E02000955,11
E02000956,12
E02000957,13
E02000958,16
E02000959,19
E02000960,13
E02000961,13
E02000962,23
E02000963,32
E02000964,23
E02000965,13
E02000966,6
E02000967,10
E02000968,43
E02000969,24
E02000970,8
E02000971,7
E02000972,12
E02000973,10
E02000974,11
E02000975,8
E02000976,12
E02000977,8
E02000978,12
E02000979,18
E02000980,15
E02000981,5
E02000982,21
E02000983,11
E02000984,10
E02000985,9
E02000986,19
E02000987,19
E02000988,30
E02000989,15
E02000990,11
E02000991,17
E02000992,18
E02000993,15
E02000994,16
E02000995,18
E02000996,27
E02000997,21
E02000998,17
E02000999,19
E02001000,30
E02001001,19
E02001002,15
E02001003,21
E02001004,28
E02001005,24
E02001006,30
E02001007,26
E02001008,29
E02001009,15
E02001010,35
E02001011,14
E02001012,13
E02001013,13
E02001014,22
E02001015,20
E02001016,12
E02001017,22
E02001018,11
E02001019,21
E02001020,12
E02001021,13
E02001022,36
E02001023,17
E02001024,23
E02001025,26
E02001026,23
E02001027,37
E02001028,28
E02001029,25
E02001030,8
E02001031,12
E02001032,14
E02001033,10
E02001034,34
E02001035,23
E02001036,11
E02001037,33
E02001038,14
E02001039,16
E02001040,6
E02001041,16
E02001042,12
E02001043,28
E02001044,21
E02001045,18
E02001046,14
E02001047,29
E02001048,20
E02001049,31
E02001050,13
E02001051,22
E02001052,45
E02001053,18
E02001055,36
E02001056,14
E02001057,17
E02001059,21
E02001061,17
E02001062,16
E02001063,11
E02001064,24
E02001065,14
E02001066,16
E02001067,14
E02001068,31
E02001069,14
E02001070,16
E02001071,15
E02001072,13
E02001073,16
E02001074,36
E02001075,9
E02001076,8
E02001077,10
E02001078,17
E02001079,13
E02001080,11
E02001081,9
E02001082,13
E02001083,15
E02001084,13
E02001085,12
E02001086,21
E02001087,4
E02001088,14
E02001089,12
E02001090,15
E02001091,16
E02001092,18
E02001093,37
E02001094,15
E02001095,15
E02001096,16
E02001097,19
E02001098,22
E02001099,8
E02001100,30
E02001101,13
E02001102,13
E02001103,8
E02001104,13
E02001105,21
E02001106,25
E02001107,14
E02001108,17
E02001109,23
E02001110,27
E02001111,18
E02001112,10
E02001113,18
E02001114,50
E02001115,15
E02001116,22
E02001117,14
E02001118,23
E02001119,39
E02001121,17
E02001123,7
E02001124,11
E02001125,20
E02001126,21
E02001127,7
E02001128,16
E02001129,20
E02001130,16
E02001131,14
E02001132,23
E02001133,8
E02001134,12
E02001135,15
E02001136,20
E02001137,7
E02001138,30
E02001139,20
E02001140,38
E02001141,28
E02001142,23
E02001143,32
E02001144,20
E02001145,11
E02001146,36
E02001147,23
E02001148,50
E02001149,27
E02001150,23
E02001151,32
E02001152,15
E02001153,36
E02001154,17
E02001155,20
E02001156,34
E02001157,33
E02001158,36
E02001159,10
E02001160,18
E02001161,12
E02001162,18
E02001163,19
E02001164,12
E02001165,12
E02001166,43
E02001167,15
E02001168,27
E02001169,16
E02001170,27
E02001171,3
E02001172,49
E02001173,9
E02001174,17
E02001175,8
E02001176,49
E02001177,33
E02001178,15
E02001179,21
E02001180,13
E02001181,15
E02001182,16
E02001183,8
E02001184,9
E02001185,27
E02001186,29
E02001187,21
E02001188,12
E02001189,14
E02001190,27
E02001191,12
E02001192,17
E02001193,15
E02001194,12
E02001195,21
E02001196,16
E02001197,6
E02001198,33
E02001199,13
E02001200,13
E02001201,13
E02001202,7
E02001203,6
E02001204,17
E02001205,16
E02001206,23
E02001207,12
E02001208,12
E02001209,18
E02001210,20
E02001211,14
E02001212,24
E02001213,24
E02001214,16
E02001215,22
E02001216,12
E02001217,19
E02001218,10
E02001219,9
E02001220,9
E02001221,10
E02001222,12
E02001223,15
E02001224,18
E02001225,22
E02001226,12
E02001227,10
E02001228,20
E02001229,25
E02001230,26
E02001231,13
E02001232,22
E02001233,34
E02001234,30
E02001235,14
E02001236,17
E02001237,17
E02001238,23
E02001239,25
E02001240,16
E02001241,32
E02001242,23
E02001243,14
E02001244,12
E02001245,21
E02001246,19
E02001247,25
E02001248,21
E02001249,10
E02001250,17
E02001251,20
E02001252,28
E02001253,14
E02001254,19
E02001255,9
E02001256,46
E02001257,36
E02001258,13
E02001259,19
E02001260,10
E02001261,12
E02001262,16
E02001263,16
E02001264,12
E02001265,28
E02001266,13
E02001267,30
E02001268,14
E02001269,17
E02001270,20
E02001271,9
E02001272,10
E02001273,18
E02001274,22
E02001275,24
E02001276,27
E02001277,10
E02001278,24
E02001279,13
E02001280,13
E02001281,16
E02001282,13
E02001283,18
E02001284,10
E02001285,21
E02001286,16
E02001287,16
E02001288,24
E02001289,23
E02001290,19
E02001291,15
E02001292,22
E02001293,27
E02001294,24
E02001295,22
E02001296,20
E02001297,24
E02001298,25
E02001299,42
E02001300,38
E02001301,32
E02001302,30
E02001303,19
E02001304,24
E02001305,23
E02001306,16
E02001307,24
E02001308,18
E02001309,17
E02001310,18
E02001311,19
E02001312,17
E02001313,27
E02001314,8
E02001315,13
E02001316,10
E02001317,46
E02001318,32
E02001319,25
E02001320,24
E02001321,25
E02001322,23
E02001323,20
E02001324,15
E02001325,17
E02001326,24
E02001327,28
E02001328,25
E02001329,29
E02001330,19
E02001331,28
E02001332,21
E02001333,24
E02001334,18
E02001335,16
E02001336,24
E02001337,16
E02001338,17
E02001339,9
E02001340,13
E02001341,18
E02001342,28
E02001343,6
E02001344,19
E02001345,14
E02001346,23
E02001347,19
E02001348,20
E02001349,17
E02001350,39
E02001351,29
E02001352,15
E02001353,11
E02001354,16
E02001355,22
E02001356,18
E02001357,26
E02001358,19
E02001359,10
E02001360,23
E02001361,22
E02001362,30
E02001363,21
E02001364,27
E02001365,21
E02001366,32
E02001367,26
E02001368,30
E02001369,13
E02001370,20
E02001371,37
E02001372,35
E02001373,18
E02001374,16
E02001375,25
E02001376,15
E02001377,20
E02001378,25
E02001380,31
E02001381,17
E02001382,13
E02001383,14
E02001384,12
E02001385,18
E02001386,25
E02001387,21
E02001388,21
E02001389,12
E02001390,26
E02001391,18
E02001392,24
E02001393,14
E02001394,34
E02001395,9
E02001396,21
E02001397,29
E02001398,17
E02001399,13
E02001400,36
E02001401,35
E02001402,40
E02001403,9
E02001404,14
E02001405,24
E02001406,23
E02001407,17
E02001408,10
E02001409,28
E02001410,18
E02001411,26
E02001412,16
E02001413,27
E02001414,13
E02001415,12
E02001416,11
E02001417,22
E02001418,18
E02001419,30
E02001420,28
E02001421,26
E02001422,18
E02001423,20
E02001424,42
E02001425,38
E02001426,21
E02001427,18
E02001428,21
E02001429,19
E02001430,13
E02001431,57
E02001432,40
E02001433,12
E02001434,17
E02001435,20
E02001436,14
E02001437,36
E02001438,11
E02001439,12
E02001440,19
E02001441,16
E02001442,24
E02001443,9
E02001444,8
E02001445,17
E02001446,20
E02001447,16
E02001448,23
E02001449,22
E02001450,16
E02001451,29
E02001452,21
E02001453,29
E02001454,19
E02001455,16
E02001456,15
E02001457,21
E02001458,16
E02001459,8
E02001460,30
E02001461,15
E02001462,18
E02001463,16
E02001464,29
E02001465,38
E02001466,20
E02001467,21
E02001468,24
E02001469,18
E02001470,16
E02001471,19
E02001472,9
E02001473,24
E02001474,12
E02001475,24
E02001476,24
E02001477,22
E02001478,22
E02001479,10
E02001480,50
E02001481,13
E02001482,21
E02001483,13
E02001484,35
E02001485,12
E02001486,49
E02001487,18
E02001488,10
E02001489,12
E02001490,19
E02001491,29
E02001492,21
E02001493,24
E02001494,16
E02001495,21
E02001496,9
E02001497,19
E02001498,12
E02001499,33
E02001500,16
E02001501,19
E02001502,45
E02001503,26
E02001504,39
E02001505,15
E02001506,20
E02001507,16
E02001508,19
E02001509,24
E02001510,20
E02001511,28
E02001512,43
E02001513,21
E02001514,27
E02001515,17
E02001516,22
E02001517,8
E02001518,19
E02001519,19
E02001520,37
E02001521,14
E02001522,27
E02001523,33
E02001524,16
E02001525,28
E02001526,21
E02001527,21
E02001528,24
E02001529,31
E02001530,12
E02001531,21
E02001532,29
